,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color
9897,0,2009,mitsubishi,galant,4 cylinders,138360,automatic,4A3AB36FX9E024556,,sedan,
9898,9500,2013,volkswagen,jetta tdi,,77000,automatic,,,,black
9899,8497,2007,toyota,highlander hybrid,6 cylinders,101773,automatic,JTEGW21A770016511,,,blue
9900,8200,2013,volkswagen,cc sport,,96000,automatic,,,,
9901,12990,2010,ford,f150 supercrew cab xlt,8 cylinders,,automatic,,full-size,truck,black
9902,8995,2009,honda,pilot,6 cylinders,158658,automatic,,full-size,SUV,silver
9903,4995,2007,lincoln,mkx,6 cylinders,140369,automatic,,full-size,SUV,purple
9904,7997,2007,ford,econoline,8 cylinders,129677,automatic,1FTNE24L77DA39551,,sedan,
9905,6997,2013,ford,f-150 xl,6 cylinders,198687,automatic,1FTMF1CMXDKD91849,,pickup,
9906,6497,2008,nissan,pathfinder,6 cylinders,169114,automatic,5N1AR18B98C610457,,SUV,
9907,6997,2006,gmc,sierra 1500,8 cylinders,223786,automatic,2GTEC13V961330856,,pickup,
9908,9997,2008,ram,1500,8 cylinders,177960,automatic,1D7HU18248S518914,,pickup,
9909,5997,2002,chevrolet,tahoe 4x4,8 cylinders,208975,automatic,1GNEK13Z72R306828,,SUV,
9910,14990,2008,gmc,sierra 1500 crew cab,8 cylinders,,automatic,,full-size,truck,black
9911,3995,2010,jeep,compass,4 cylinders,156236,automatic,,mid-size,SUV,red
9912,3995,2006,kia,sorento,6 cylinders,118385,automatic,,full-size,SUV,
9913,6500,2012,nissan,altima 2.5 s,4 cylinders,92745,automatic,,,sedan,silver
9914,4995,2007,hyundai,santa fe,6 cylinders,182300,automatic,,mid-size,SUV,green
9915,13500,2014,chevrolet,camaro lt,6 cylinders,87000,automatic,,,,white
9916,12400,2014,ford,escape fwd 4dr titanium,4 cylinders,67335,automatic,,,,
9917,6500,2013,chevrolet,sonic lt,4 cylinders,60649,automatic,,,,
9918,11600,2014,volkswagen,cc,4 cylinders,61000,automatic,,,,
9919,0,2012,chevrolet,silverado 1500,8 cylinders,105308,automatic,3GCPKSE78CG225194,mid-size,truck,
9920,10400,2014,ford,mustang premium,6 cylinders,122000,automatic,,,,
9921,3200,2006,honda,civic,4 cylinders,192000,automatic,,mid-size,sedan,silver
9922,28750,2011,dodge,challenger,,7395,automatic,2B3CJ7DJ5BH578486,,,orange
9923,27750,2017,ram,1500,,69297,automatic,1C6RR7LT4HS509995,,,
9924,14500,2016,honda,cr-v,4 cylinders,61000,automatic,2hkrm3h49gh525995,mid-size,SUV,silver
9925,7950,2015,chevrolet,equinox lt,4 cylinders,139900,automatic,,,SUV,
9926,9875,2014,dodge,dart,,107349,automatic,1C3CDFEB7ED918959,,,black
9927,16750,2017,dodge,grand caravan,,58543,automatic,2C4RDGCG6HR814250,,,blue
9928,13855,2016,kia,soul,,70278,automatic,KNDJX3A56G7276700,,,
9929,17988,2016,gmc,terrain,,94170,automatic,2GKFLUE32G6236103,,,white
9930,17750,2015,ford,edge,,41296,automatic,2FMTK3J8XFBB08559,,SUV,
9931,17500,2011,audi,a6,,60109,automatic,WAU4GAFB9BN052757,,wagon,
9932,17491,2002,ford,thunderbird,,30068,automatic,1FAHP60A02Y120000,,convertible,
9933,18950,2014,bmw,428i,,76466,automatic,WBA3V7C58EP771154,,convertible,
9934,12295,2009,bmw,1 series,6 cylinders,60354,manual,WBAUN93509VK40130,,convertible,blue
9935,3500,2004,honda,cr-v,,,automatic,,,,
9936,20790,2011,toyota,tundra,8 cylinders,,automatic,,full-size,truck,grey
9937,16700,2012,ford,f150,,,automatic,,,,
9938,1500,2001,ford,f250 super duty,8 cylinders,300000,automatic,,,truck,yellow
9939,18790,2009,jeep,wrangler unlimited,,114,automatic,,,,
9940,0,2008,volkswagen,rabbit,5 cylinders,109867,automatic,WVWBA71K58W157207,,coupe,white
9941,0,2014,nissan,sentra,4 cylinders,72959,automatic,3N1AB7AP3EY273016,,sedan,
9942,13690,2007,chevrolet,silverado,,,automatic,,,,
9943,8995,2007,ram,,,,automatic,,,,
9944,2999,2006,toyota,camry,6 cylinders,164000,automatic,,,sedan,
9945,24000,2007,ram,2500,,155000,automatic,,,truck,
9946,0,2005,ram,1500,8 cylinders,231482,automatic,1D7HU18D55S191629,,truck,silver
9947,0,2003,ram,2500,6 cylinders,256565,automatic,3D7KU28C43G824564,,truck,black
9948,0,2012,dodge,challenger,6 cylinders,47873,automatic,2C3CDYAG4CH292025,,coupe,blue
9949,0,2012,audi,a5,4 cylinders,53146,automatic,WAUCFAFH9CN005085,,convertible,black
9950,0,2011,mercedes-benz,glk 350,6 cylinders,,automatic,WDCGG8HB4BF648627,,SUV,white
9951,0,2010,jeep,wrangler,6 cylinders,114228,automatic,1J4GA2D1XAL189681,,SUV,black
9952,0,2006,cadillac,srx,6 cylinders,95303,automatic,1GYEE637960172520,,SUV,blue
9953,0,2012,ford,f-150,6 cylinders,,automatic,1FTFW1ET1CFC71281,,truck,grey
9954,10450,2012,chevrolet,silverado,6 cylinders,99810,automatic,t123456s78910,mid-size,truck,silver
9955,15000,2013,bmw,3 series 328i,,,automatic,,,,
9956,22500,2018,subaru,crosstrek,4 cylinders,38192,automatic,JF2GTADC9JH219673,,SUV,orange
9957,12000,1963,chevrolet,,,,automatic,,,,
9958,5490,2007,ford,expedition,,,automatic,1FMFU165X7LA01149,,,
9959,0,2013,audi,s4,6 cylinders,111833,automatic,,,sedan,black
9960,35000,2012,gmc,sierra,8 cylinders,92000,automatic,1GT120E84CF137263,full-size,truck,silver
9961,15900,2014,ram,2500 van,,,automatic,,,,
9962,11540,2016,chevrolet,cruze,4 cylinders,69441,automatic,1G1BE5SM2G7299346,,sedan,blue
9963,17800,2010,lexus,gx,8 cylinders,128185,automatic,JTJBM7FX8A5005572,,SUV,custom
9964,6000,2010,volvo,s80,6 cylinders,184000,automatic,,full-size,sedan,black
9965,38700,2017,nissan,titan xd,8 cylinders,22076,automatic,,full-size,pickup,black
9966,0,2017,nissan,370z,6 cylinders,41028,manual,,,coupe,white
9967,11995,2001,ford,f-250 super duty,,177323,automatic,1FTNF20L41EA96620,,pickup,white
9968,17495,2013,toyota,venza,,76995,automatic,4T3ZK3BB7DU052437,,wagon,white
9969,14995,2016,subaru,crosstrek,,74484,automatic,JF2GPABC9G8205899,,wagon,black
9970,7995,2010,nissan,rogue,,96110,automatic,JN8AS5MV2AW133346,,wagon,silver
9971,19999,2012,mazda,cx-9,,110866,automatic,JM3TB2DA0C0339665,,SUV,black
9972,13995,2007,jeep,wrangler,,108288,manual,1J4FA24197L183259,,SUV,grey
9973,6995,2008,jeep,liberty,,111421,automatic,1J8GP28K88W176954,,SUV,red
9974,5990,2010,honda,accord ex-l,,188000,automatic,,,,
9975,13995,2015,jeep,cherokee,,72258,automatic,1C4PJLAB4FW517305,,SUV,
9976,6990,2004,gmc,sierra,,158085,automatic,2GTEC19T841216656,,pickup,
9977,6995,2005,jaguar,s-type,,95140,automatic,SAJWA01T45FN33264,,sedan,silver
9978,5990,2008,ford,explorer,,145547,automatic,1FMEU73868UA02307,,SUV,silver
9979,7995,2002,ford,excursion,,223077,automatic,1FMNU41S62EA42126,,SUV,green
9980,4990,2008,dodge,caravan/grand caravan,,143249,automatic,1D8HN54P68B170860,,wagon,blue
9981,0,2019,nissan,pathfinder,6 cylinders,19151,automatic,5N1DR2MM4KC626275,,SUV,silver
9982,5995,2006,honda,cr-v,,185034,automatic,JHLRD68506C026896,,SUV,white
9983,5990,2008,nissan,rogue,,119748,,JN8AS58V58W129991,,wagon,silver
9984,2990,2004,honda,accord,,,automatic,1HGCM563X4A092865,,sedan,
9985,11995,2007,gmc,yukon xl,,136378,automatic,1GKFK16327J326001,,SUV,black
9986,8995,2010,chevrolet,equinox,,49052,automatic,2CNALBEW5A6293015,,SUV,blue
9987,6995,2019,,Kawasaki EX650-J -,,0,automatic,JKAEXEJ10KDA03284,,,black
9988,12995,2018,ford,escape,,9918,automatic,1FMCU9GD6JUC13281,,SUV,grey
9989,14995,2012,chevrolet,suburban,,164873,automatic,1GNSKKE79CR229482,,SUV,
9990,3450,2007,pontiac,g5,,134642,automatic,1G2AL15F277301678,sub-compact,coupe,
9991,2990,2004,mercury,sable,,150266,automatic,1MEFM55S34G607673,mid-size,other,silver
9992,8495,2012,gmc,terrain,,124305,automatic,2GKFLTEK9C6306739,,SUV,silver
9993,4990,2006,jeep,liberty,,126508,automatic,1J4GK48KX6W275249,,SUV,silver
9994,2990,2004,saturn,vue,,136171,automatic,5GZCZ63444S882819,,SUV,silver
9995,15995,2011,chevrolet,silverado 1500 hybrid,,61244,automatic,3GCUCUEJ7BG179279,,pickup,white
9996,4450,2004,acura,tl,,152880,automatic,19UUA66274A064984,,sedan,
9997,5990,2008,chevrolet,colorado,,121793,automatic,1GBDS14E688215715,,other,
9998,8495,2008,ford,f-250 super duty,,141718,automatic,1FTSX20598EA90064,,pickup,white
9999,2990,2000,ford,expedition,,,automatic,1FMRU1560YLA20589,,SUV,black
10000,5450,2007,ford,escape,,96096,,1FMCU49H47KA52680,,SUV,
10001,11995,2008,ford,f-150,,120396,automatic,1FTPW145X8FA98987,,pickup,white
10002,2990,2002,honda,civic,,,automatic,1HGEM22942L074476,compact,coupe,silver
10003,4650,2005,volkswagen,jetta,,137344,automatic,3VWSG71K05M610091,compact,sedan,
10004,3450,2005,ford,taurus,,168526,automatic,1FAFP53U55A277171,full-size,sedan,silver
10005,14994,2008,ford,f-150,,133220,automatic,1FTPW14578FB75783,,pickup,black
10006,5990,2007,gmc,envoy,,150369,automatic,1GKES63M772121743,,SUV,
10007,7995,2008,ford,explorer,,83068,automatic,1FMEU65E18UB01002,,SUV,
10008,3850,1998,nissan,maxima,,121694,automatic,JN1CA21A8WT401013,,sedan,black
10009,5990,2007,honda,cr-v,,102739,automatic,JHLRE38367C044010,,SUV,black
10010,13995,2010,ford,explorer sport trac,,80887,automatic,1FMEU5B86AUA31186,,pickup,black
