,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color,ex_showroom_price
1306,11995,2010,nissan,titan crew cab pro x 4,8 cylinders,127524,automatic,,full-size,pickup,white,16509
1307,19900,2015,jeep,grand cherokee limited,6 cylinders,,automatic,,full-size,SUV,white,27628
1308,1000,1999,dodge,dakota,,,automatic,,,,,6181
1309,20000,2011,ford,f350 crew utility 4x4,8 cylinders,189000,automatic,,full-size,pickup,white,25356
1310,14998,2009,toyota,tacoma,6 cylinders,130630,automatic,3TMMU52N99M015327,full-size,truck,silver,21561
1311,17998,2017,volkswagen,tiguan,4 cylinders,31557,automatic,WVGBV7AX0HK006987,full-size,SUV,silver,22692
1312,7995,2009,subaru,forester,4 cylinders,121356,automatic,JF2SH66609H760803,,SUV,,16536
1313,17998,2012,ford,f150,8 cylinders,96998,automatic,1FTFX1EF9CFC28749,full-size,truck,red,22684
1314,25,2012,ford,flex sel awd,,,automatic,,,,,6881
1315,60000,1999,,Mack,,,automatic,,,,,65986
1316,13998,2016,mazda,3,4 cylinders,24870,automatic,JM1BM1U71G1350946,full-size,sedan,blue,20457
1317,12998,2009,ram,,8 cylinders,100929,automatic,1D3HV18P29S804661,full-size,truck,silver,17877
1318,21995,2018,gmc,savana 2500 cargo van,8 cylinders,32998,automatic,1GTW7AFG3J1912018,full-size,,white,27551
1319,32998,2019,toyota,tacoma,6 cylinders,18562,automatic,3TMCZ5AN4KM212443,full-size,truck,black,39492
1320,13998,2016,nissan,sentra,4 cylinders,24365,automatic,3N1AB7AP2GY312262,full-size,sedan,black,20460
1321,16598,2016,nissan,rogue s,4 cylinders,28024,automatic,5N1AT2MV4GC846651,full-size,SUV,white,23942
1322,23998,2016,mercedes-benz,benz c300,4 cylinders,48400,automatic,WDDWF4KB6GR150074,full-size,sedan,black,28938
1323,12998,2017,volkswagen,jetta,4 cylinders,57078,automatic,3VW2B7AJ8HM201301,full-size,sedan,red,20409
1324,33900,2015,ford,f-350 super crew 4x4,8 cylinders,72000,automatic,,,pickup,red,38969
1325,24998,2016,audi,q5,4 cylinders,34900,automatic,WA1C2AFP3GA082760,full-size,SUV,white,32569
1326,3995,2011,kia,forte limited,,112000,automatic,KNAFW5A39B5398259,,,,12995
1327,7998,2010,nissan,rogue,4 cylinders,117369,automatic,JN8AS5MVXAW608192,full-size,SUV,custom,13396
1328,8998,2006,nissan,xterra,6 cylinders,128188,automatic,5N1AN08W16C509693,full-size,SUV,black,16089
1329,6998,2007,audi,a4,6 cylinders,101669,automatic,WAUDH48H67K022138,full-size,convertible,grey,14572
1330,16200,2016,subaru,xv crosstrek 2.0i premium,4 cylinders,49100,manual,,,,grey,23178
1331,16998,2011,nissan,frontier,6 cylinders,74097,automatic,1N6AD0EV6BC416856,full-size,truck,black,22645
1332,13998,2016,mazda,mazda3,4 cylinders,24849,automatic,JM1BM1U71G1350946,full-size,sedan,blue,18856
1333,4950,2004,toyota,4runner sr5,6 cylinders,118876,automatic,JTEBU14R040024733,,SUV,blue,10095
1334,20998,2014,honda,ridgeline,6 cylinders,83313,automatic,5FPYK1F5XEB001744,full-size,truck,white,29803
1335,10998,2013,dodge,caravan,6 cylinders,84894,automatic,2C4RDGBG5DR658164,full-size,van,silver,16202
1336,12998,2014,toyota,tacoma,4 cylinders,96035,automatic,5TFNX4CNXEX043002,full-size,truck,white,21349
1337,18998,2012,ram,,8 cylinders,79284,automatic,1C6RD7GT2CS337032,full-size,truck,black,27020
1338,39944,2016,gmc,yukon,,73326,automatic,1GKS2CKJ3GR399491,,SUV,black,47925
1339,10950,2013,dodge,grand caravan,6 cylinders,97368,automatic,2C4RDGBG4DR703529,,van,grey,15027
1340,7998,2012,nissan,versa,4 cylinders,62445,automatic,3N1BC1CP9CK260492,full-size,hatchback,black,14479
1341,15998,2014,honda,crv,4 cylinders,83736,automatic,2HKRM4H71EH716579,full-size,SUV,silver,22387
1342,30998,2019,ram,,8 cylinders,16556,automatic,1C6RR7TT6KS587640,full-size,truck,grey,39489
1343,39998,2014,ford,raptor,8 cylinders,60283,automatic,1FTFW1R67EFA54003,full-size,truck,black,46963
1344,21998,2016,bmw,320i,4 cylinders,27549,automatic,WBA8A3C50GK688411,full-size,sedan,grey,30840
1345,20998,2015,jeep,grand cherokee,4 cylinders,52822,automatic,1C4RJFAG1FC941628,full-size,SUV,black,27766
1346,19998,2011,ram,,8 cylinders,88901,automatic,1D7RV1GTXBS622570,full-size,truck,silver,27407
1347,31598,2019,ram,,8 cylinders,10530,automatic,1C6RR7FT2KS502725,full-size,truck,grey,37097
1348,16998,2016,nissan,rogue,4 cylinders,47081,automatic,KNMAT2MV9GP609585,full-size,SUV,grey,21200
1349,14998,2019,nissan,sentra,4 cylinders,5,automatic,3N1AB7APXKY257956,full-size,sedan,blue,20117
1350,13998,2013,bmw,x1,4 cylinders,94770,automatic,WBAVL1C55DVR88912,full-size,SUV,silver,20124
1351,8998,2013,dodge,dart,4 cylinders,72304,automatic,1C3CDFBA8DD105866,full-size,sedan,silver,13475
1352,24944,2016,ram,1500,,56169,automatic,1C6RR7FT2GS205445,,pickup,black,30074
1353,14998,2019,nissan,sentra,4 cylinders,5,automatic,3N1AB7APXKY257956,compact,sedan,blue,19706
1354,33995,2017,dodge,durango rt awd,8 cylinders,31171,automatic,1C4SDJCT9HC829491,full-size,SUV,red,39642
1355,19598,2018,dodge,grand caravan,6 cylinders,37589,automatic,2C4RDGEGXJR297148,full-size,van,red,25489
1356,21998,2016,bmw,3 series,4 cylinders,27549,automatic,WBA8A3C50GK688411,full-size,sedan,grey,26786
1357,18598,2018,dodge,grand caravan,6 cylinders,35314,automatic,2C4RDGBG1JR219846,full-size,van,grey,27530
1358,15998,2016,nissan,rogue,4 cylinders,47081,automatic,KNMAT2MV9GP609585,full-size,SUV,grey,21787
1359,31998,2019,ram,,8 cylinders,12390,automatic,1C6RR7TT9KS576597,full-size,truck,black,40475
1360,26998,2016,rover,discovery,4 cylinders,42258,automatic,SALCR2BG3GH568661,full-size,SUV,green,35244
1361,17998,2011,ram,,8 cylinders,,automatic,1D7RV1GP6BS649493,full-size,truck,white,25556
1362,18998,2013,chevrolet,silverado,8 cylinders,117350,automatic,3GCPKSE76DG150304,full-size,truck,black,26485
1363,30998,2016,toyota,tundra,8 cylinders,66337,automatic,5TFDY5F15GX497992,full-size,truck,grey,36630
1364,23998,2016,mercedes-benz,c300,4 cylinders,36039,automatic,55SWF4KB0GU168195,full-size,sedan,silver,28987
1365,18999,2016,mazda,cx5,4 cylinders,35045,automatic,JM3KE4CY7G0849949,full-size,SUV,silver,27313
1366,39998,2019,dodge,rebel,6 cylinders,8854,automatic,1C6RRFEG3KN841362,full-size,truck,black,44486
1367,15998,2014,gmc,sierra,6 cylinders,23790,automatic,1GTN1TEH6EZ307467,full-size,truck,white,21424
1368,32998,2017,nissan,titan xd,8 cylinders,1296,automatic,1N6AA1RP3HN573851,full-size,truck,black,38762
1369,24998,2019,nissan,rogue sl,4 cylinders,13625,automatic,5N1AT2MV7KC744849,full-size,SUV,silver,30685
1370,11598,2015,nissan,altima,4 cylinders,64274,automatic,1N4AL3AP6FC494922,full-size,sedan,white,20505
1371,16998,2010,ram,,8 cylinders,99442,automatic,1D7RV1CT4AS158048,full-size,truck,grey,23309
1372,29995,2017,gmc,sierra sle crewcab 4x4,8 cylinders,31612,automatic,3GTU2MEC9HG174050,full-size,pickup,blue,36850
1373,11,2009,ford,taurus x sel,,,automatic,,,,,5350
1374,21998,2017,chevrolet,express,8 cylinders,42211,automatic,1GAZGPFF5H1237573,full-size,van,white,29681
1375,18598,2018,dodge,caravan,6 cylinders,35314,automatic,2C4RDGBG1JR219846,full-size,van,grey,23173
1376,21998,2019,nissan,rogue,4 cylinders,17074,automatic,KNMAT2MV0KP504541,full-size,SUV,black,29416
1377,18598,2018,dodge,caravan,6 cylinders,35314,automatic,2C4RDGBG1JR219846,full-size,van,grey,26709
1378,21998,2015,infiniti,q50,6 cylinders,36647,automatic,JN1BV7AR0FM398900,full-size,sedan,silver,26278
1379,23998,2016,mercedes-benz,benz c300,4 cylinders,48400,automatic,WDDWF4KB6GR150074,full-size,sedan,black,31280
1380,24998,2016,audi,q3,4 cylinders,32348,automatic,WA1GFCFS4GR024549,full-size,SUV,white,33186
1381,13998,2016,nissan,sentra,4 cylinders,24365,automatic,3N1AB7AP2GY312262,full-size,sedan,black,18886
1382,18998,2014,ram,,8 cylinders,80882,automatic,1C6RR7GT9ES141013,full-size,truck,red,25855
1383,21998,2016,nissan,frontier,6 cylinders,33558,automatic,1N6AD0EVXGN708666,full-size,truck,white,28700
1384,3398,2010,chevrolet,impala,4 cylinders,158739,automatic,2G1WB5EN6A1139411,full-size,sedan,blue,10196
1385,14998,2019,nissan,sentra,4 cylinders,4358,automatic,3N1AB7AP5KY365501,compact,sedan,grey,22068
1386,14998,2019,nissan,sentra,4 cylinders,2949,automatic,3N1AB7AP7KY375589,full-size,sedan,silver,22638
1387,5998,2009,mazda,cx9,6 cylinders,152963,automatic,JM3TB38A590168842,full-size,SUV,blue,13958
1388,17998,2014,ram,bighorn,8 cylinders,60098,automatic,1C6RR6LT8ES430108,full-size,truck,grey,24288
1389,14998,2019,nissan,sentra,4 cylinders,2949,automatic,3N1AB7AP7KY375589,full-size,sedan,silver,20621
1390,14998,2019,nissan,sentra,4 cylinders,4358,automatic,3N1AB7AP5KY365501,compact,sedan,grey,19138
1391,5300,2004,toyota,camry,4 cylinders,,automatic,,,sedan,silver,9924
1392,13995,2015,chevrolet,equinox lt awd,4 cylinders,62898,automatic,2GNFLFEK8F6303596,,SUV,black,19524
